time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,follows,media views,media engagements,promoted media engagements,count_#
2023-11-26 06:33 +0000,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-26 06:30 +0000,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-26 06:28 +0000,78.0,1.0,0.01282051282051282,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-26 06:25 +0000,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-26 05:20 +0000,36.0,2.0,0.05555555555555555,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-25 09:57 +0000,21.0,2.0,0.09523809523809523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,-,2
2023-11-25 01:50 +0000,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-24 23:00 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-24 22:57 +0000,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,-,0
2023-11-24 22:53 +0000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-24 22:23 +0000,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-22 02:59 +0000,11.0,1.0,0.09090909090909093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-22 02:43 +0000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-22 02:32 +0000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-22 02:18 +0000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-22 02:08 +0000,134.0,1.0,0.00746268656716418,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-20 23:21 +0000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,3
2023-11-20 07:20 +0000,76.0,1.0,0.013157894736842105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-20 03:51 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-18 14:39 +0000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-18 12:01 +0000,180.0,4.0,0.022222222222222227,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-18 07:32 +0000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-17 05:50 +0000,47.0,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,-,2
2023-11-13 03:39 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,-,1
2023-11-12 08:01 +0000,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-12 08:00 +0000,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-12 07:52 +0000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-12 05:50 +0000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-12 05:49 +0000,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-11 22:55 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-11 22:49 +0000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-11 05:05 +0000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-11 05:03 +0000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-11 02:30 +0000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-11 02:21 +0000,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-10 22:43 +0000,71.0,3.0,0.04225352112676056,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-10 22:30 +0000,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-10 09:14 +0000,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-10 05:01 +0000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-10 04:50 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-10 03:06 +0000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-09 18:45 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,1
2023-11-09 18:39 +0000,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
